district,Location,GPO,LIB,NDP,Other parties,PCP,Total,Others,difference,winner,Diff %,Diff % others,full_Location,lon,lat
074 Oakville,ST. JUDE'S ANGLICAN CHURCH,35,238,15,27,255,570,77,-17,PCP,0.02982456140350877,0.22077922077922077,ST. JUDE'S ANGLICAN CHURCH; Oakville; Ontario; Canada,-79.666672,43.447436
074 Oakville,ST. MARGUERITE D'YOUVILLE SCHOOL,23,125,27,24,309,508,74,-184,PCP,0.36220472440944884,2.4864864864864864,ST. MARGUERITE D'YOUVILLE SCHOOL; Oakville; Ontario; Canada,-79.678184,43.434807
074 Oakville,ST. MATTHEW C.E.S.,48,289,50,29,333,749,127,-44,PCP,0.05874499332443257,0.3464566929133858,ST. MATTHEW C.E.S.; Oakville; Ontario; Canada,-79.716585,43.440019
074 Oakville,ST. NICHOLAS C.E.S.,20,131,36,24,285,496,80,-154,PCP,0.31048387096774194,1.925,ST. NICHOLAS C.E.S.; Oakville; Ontario; Canada,-79.666672,43.447436
074 Oakville,ST. VINCENT CATHOLIC ELEMENTARY SCHOOL,32,215,33,31,301,612,96,-86,PCP,0.14052287581699346,0.8958333333333334,ST. VINCENT CATHOLIC ELEMENTARY SCHOOL; Oakville; Ontario; Canada,-79.65615704326345,43.465538
074 Oakville,SUNNINGDALE PUBLIC SCHOOL,82,340,109,65,402,998,256,-62,PCP,0.06212424849699399,0.2421875,SUNNINGDALE PUBLIC SCHOOL; Oakville; Ontario; Canada,-79.71220403770484,43.45867605
074 Oakville,SUNRISE SENIOR LIVING OAKVILLE,0,0,0,0,0,0,0,0,PCP,,,SUNRISE SENIOR LIVING OAKVILLE; Oakville; Ontario; Canada,-79.666672,43.447436
074 Oakville,T.A. BLAKELOCK HIGH SCHOOL,28,219,32,27,278,584,87,-59,PCP,0.10102739726027397,0.6781609195402298,T.A. BLAKELOCK HIGH SCHOOL; Oakville; Ontario; Canada,-79.693725,43.419397
074 Oakville,THE KENSINGTON RETIREMENT RESIDENCE,0,16,2,1,24,43,3,-8,PCP,0.18604651162790697,2.6666666666666665,THE KENSINGTON RETIREMENT RESIDENCE; Oakville; Ontario; Canada,-79.666672,43.447436
074 Oakville,THE LIGHTHOUSE CONDOS,17,24,9,11,38,99,37,-14,PCP,0.1414141414141414,0.3783783783783784,THE LIGHTHOUSE CONDOS; Oakville; Ontario; Canada,-79.666672,43.447436
074 Oakville,THE OAKS HALTON C.C #61,20,45,13,8,72,158,41,-27,PCP,0.17088607594936708,0.6585365853658537,THE OAKS HALTON C.C #61; Oakville; Ontario; Canada,-79.666672,43.447436
074 Oakville,THE SHORES CONDOS HSCC 612,14,43,5,9,82,153,28,-39,PCP,0.2549019607843137,1.3928571428571428,THE SHORES CONDOS HSCC 612; Oakville; Ontario; Canada,-79.666672,43.447436
074 Oakville,TRAFALGAR LODGE RETIREMENT RESIDENCE,3,11,3,3,23,43,9,-12,PCP,0.27906976744186046,1.3333333333333333,TRAFALGAR LODGE RETIREMENT RESIDENCE; Oakville; Ontario; Canada,-79.666672,43.447436
074 Oakville,VISTAMERE RETIREMENT RESIDENCE,0,0,0,0,0,0,0,0,PCP,,,VISTAMERE RETIREMENT RESIDENCE; Oakville; Ontario; Canada,-79.666672,43.447436
074 Oakville,W.H. MORDEN PUBLIC SCHOOL,31,202,39,40,303,615,110,-101,PCP,0.16422764227642275,0.9181818181818182,W.H. MORDEN PUBLIC SCHOOL; Oakville; Ontario; Canada,-79.6865214570808,43.4338352
074 Oakville,WALTON MEMORIAL UNITED CHURCH,75,451,53,62,486,1127,190,-35,PCP,0.031055900621118012,0.18421052631578946,WALTON MEMORIAL UNITED CHURCH; Oakville; Ontario; Canada,-79.71326662050407,43.39344765
074 Oakville,WHITE OAKS SECONDARY SCHOOL,44,289,92,53,268,746,189,21,LIB,0.028150134048257374,0.1111111111111111,WHITE OAKS SECONDARY SCHOOL; Oakville; Ontario; Canada,-79.70220537159366,43.461924100000005
074 Oakville,WYNDHAM MANOR,2,11,1,4,13,31,7,-2,PCP,0.06451612903225806,0.2857142857142857,WYNDHAM MANOR; Oakville; Ontario; Canada,-79.67170019236333,43.4526489
074 Oakville,Ã.Ã.C. SAINTE-MARIE,36,297,59,53,268,713,148,29,LIB,0.04067321178120617,0.19594594594594594,Ã.Ã.C. SAINTE-MARIE; Oakville; Ontario; Canada,-79.666672,43.447436
074 Oakville,ÃCOLE PINE GROVE PUBLIC SCHOOL,22,192,36,40,315,605,98,-123,PCP,0.20330578512396694,1.2551020408163265,ÃCOLE PINE GROVE PUBLIC SCHOOL; Oakville; Ontario; Canada,-79.666672,43.447436
